Source,Target,Type
W4287448694,W3094347401,Directed
W3209431991,W3094347401,Directed
W3019779721,W3094347401,Directed
W3214164160,W3094347401,Directed
W3127591906,W3094347401,Directed
W3203416601,W3094347401,Directed
W4327642307,W3094347401,Directed
W4366723980,W3094347401,Directed
W4400977018,W3094347401,Directed
W4412377298,W3094347401,Directed
W4412673532,W3094347401,Directed
W4412877003,W3094347401,Directed
W4413683006,W3094347401,Directed
W4416016849,W3094347401,Directed
W4416250875,W3094347401,Directed
W7125304714,W3094347401,Directed
W7127562723,W3094347401,Directed
W4382624116,W4306317017,Directed
W4391795948,W4306317017,Directed
W4402517943,W4306317017,Directed
W4402816747,W4306317017,Directed
W4387005346,W4306317017,Directed
W4400525846,W4306317017,Directed
W4393185602,W4306317017,Directed
W4412422747,W4306317017,Directed
W4409985681,W4306317017,Directed
W4403023927,W4306317017,Directed
W4405270501,W4306317017,Directed
W4405939921,W4306317017,Directed
W4393359877,W4306317017,Directed
W4404102049,W4306317017,Directed
W4408259487,W4306317017,Directed
W4413278140,W4306317017,Directed
W4416726442,W4306317017,Directed
W3120229508,W3023239493,Directed
W3186906220,W3023239493,Directed
W3118741673,W3023239493,Directed
W3199262864,W3023239493,Directed
W4404039744,W4399205832,Directed
W4412595594,W4399205832,Directed
W4413169616,W4399205244,Directed
W4401429829,W4399205244,Directed
W4404968826,W4399205244,Directed
W7117765080,W4399205244,Directed
W7130693797,W4399205244,Directed
W4405011429,W4399205244,Directed
W4413812374,W4399205244,Directed
W4417146771,W4399205244,Directed
W7117656502,W4399205244,Directed
W7127598029,W4399205244,Directed
W7140186737,W4399205244,Directed
W7160489113,W4399205244,Directed
W4404954293,W4306317353,Directed
W4414680915,W4306317353,Directed
W7161799910,W4306317353,Directed
W4399205371,W4312768622,Directed
W4417466025,W4312768622,Directed
W4319950092,W4306317384,Directed
W4410781051,W4306317384,Directed
W7131273637,W4306317384,Directed
W4407614715,W4306317384,Directed
W7154015794,W4306317384,Directed
W4394943236,W4306317384,Directed
W4396832190,W4380359166,Directed
W4385825816,W4306316978,Directed
W4389518632,W4306316978,Directed
W4385825800,W4306316978,Directed
W4379280737,W4306316978,Directed
W2946595845,W2794685318,Directed
W2947770778,W2794685318,Directed
W2954365773,W2794685318,Directed
W2966487074,W2794685318,Directed
W2962830212,W2794685318,Directed
W3152272674,W2794685318,Directed
W2982212967,W2794685318,Directed
W2901097951,W2794685318,Directed
W2931330384,W2794685318,Directed
W4407827488,W2794685318,Directed
W4220714079,W2794685318,Directed
W3115619782,W2794685318,Directed
W4411120901,W2794685318,Directed
W3080850442,W2794685318,Directed
W3048941049,W2794685318,Directed
W3084739620,W2794685318,Directed
W2927732725,W2794685318,Directed
W3083091152,W2794685318,Directed
W2985831993,W2794685318,Directed
W3012283937,W2794685318,Directed
W3093594262,W2794685318,Directed
W3192707957,W2794685318,Directed
W2980695995,W2794685318,Directed
W2996547232,W2794685318,Directed
W2951700457,W2794685318,Directed
W4285347113,W2794685318,Directed
W4409834945,W2794685318,Directed
W3132244481,W3048366122,Directed
W4416017137,W4412877148,Directed
W4408399923,W4403582503,Directed
W4414978543,W4403582503,Directed
W4416017204,W4403582503,Directed
W7161823297,W4403582503,Directed
W4414538992,W4412875460,Directed
W7128546382,W4412875460,Directed
W7165614005,W4412875460,Directed
W7166517718,W4412875460,Directed
W4280590592,W4306316917,Directed
W4315498031,W4306316917,Directed
W4313119132,W4306316917,Directed
W4404758008,W4306316917,Directed
W4379518989,W4306316917,Directed
W4405653378,W4306316917,Directed
W4396883359,W4306316917,Directed
W4399697040,W4306316917,Directed
W4408120544,W4306316917,Directed
W4411549717,W4306316917,Directed
W4409916767,W4306316917,Directed
W4404060117,W4306316917,Directed
W4411055052,W4306316917,Directed
W4410204005,W4306316917,Directed
W4399908572,W4306316917,Directed
W4401751564,W4306316917,Directed
W4392607820,W4306316917,Directed
W4416901687,W4306316917,Directed
W4417045898,W4306316917,Directed
W4413137219,W4306316917,Directed
W4412352681,W4306316917,Directed
W4413822922,W4306316917,Directed
W4416549399,W4306316917,Directed
W7133299072,W4306316917,Directed
W4385688627,W4306316917,Directed
W4385452232,W4306316917,Directed
W4394002272,W4306316917,Directed
W4401818316,W4306316917,Directed
W4412876978,W4306316917,Directed
